DateChargement_jour,DateLivraison_jour,Poids
0.0,0.0,6.27968
0.0,2.0,0.9994
1.0,3.0,0.21904
1.0,2.0,19.8321
2.0,6.0,0.96354
2.0,3.0,0.2424
2.0,3.0,4.7672
2.0,6.0,0.2264
2.0,3.0,2.04197
3.0,4.0,3.661
3.0,4.0,1.63764
3.0,7.0,0.4059
3.0,6.0,1.70429
3.0,6.0,1.5
3.0,7.0,0.569
3.0,6.0,2.13037
4.0,7.0,0.49142
4.0,6.0,0.4314
4.0,8.0,0.492
4.0,8.0,0.558
5.0,6.0,4.17991
5.0,9.0,1.49484
5.0,7.0,1.57864
5.0,8.0,2.55104
5.0,7.0,1.25447
6.0,7.0,1.54628
6.0,7.0,0.4473
6.0,7.0,0.8573
6.0,7.0,0.9
6.0,9.0,0.4859
6.0,7.0,0.5735
6.0,9.0,0.584
6.0,7.0,0.27901
6.0,7.0,0.46991
7.0,8.0,3.04092
7.0,8.0,0.91926
7.0,11.0,1.98783
7.0,9.0,0.419
7.0,8.0,0.3902
7.0,11.0,5.45583
7.0,8.0,0.30391
7.0,8.0,2.1113
7.0,8.0,1.53979
7.0,8.0,0.74445
7.0,8.0,1.264
7.0,9.0,1.07505
7.0,8.0,0.899
7.0,8.0,0.3438
7.0,11.0,1.14147
8.0,11.0,0.53096
8.0,9.0,1.74366
8.0,11.0,0.30994
8.0,9.0,1.554
8.0,12.0,0.27776
8.0,10.0,0.48
8.0,9.0,0.8735
8.0,9.0,0.6188
8.0,9.0,0.74004
8.0,9.0,0.91232
8.0,9.0,1.2081
8.0,9.0,1.546
8.0,9.0,0.38484
8.0,12.0,3.76452
8.0,9.0,1.58596
8.0,9.0,3.66533
9.0,10.0,0.9839
9.0,10.0,0.48587
9.0,10.0,0.14014
9.0,10.0,0.56473
9.0,10.0,3.86922
9.0,10.0,1.09608
9.0,10.0,0.93016
9.0,10.0,0.42518
9.0,10.0,0.90047
9.0,10.0,0.57342
9.0,10.0,2.93807
9.0,12.0,1.93512
9.0,11.0,0.60125
9.0,10.0,0.22702
9.0,13.0,0.27051
9.0,13.0,0.50612
9.0,12.0,0.37505
9.0,10.0,1.2012
9.0,13.0,1.62262
10.0,11.0,1.00937
10.0,14.0,0.49895
10.0,11.0,1.196
10.0,11.0,0.08151
10.0,14.0,0.48139
