;Unnamed: 0;Date chargement;Date de livraison;Département;Villes destinataire;Palette;Poids;Metre Linéaire;Volume;Colis;latitude;longitude;mois chargement
0;0;31/12/2020;31/12/2020;45; FLEURY-LES-AUBRAIS;4;6.27968;0;6.67;203;47.933797;1.919794;1
1;10;31/12/2020;02/01/2021;63; ISSOIRE;2;0.9994;0;3.07;130;45.542007;3.24313;1
2;13;01/01/2021;03/01/2021;73; SAINT-JEAN-DE-MAURIENNE;1;0.21904;0.9;2.84;18;45.267964;6.347847;1
3;12;01/01/2021;02/01/2021;3; BOURBON-L'ARCHAMBAULT;28;19.8321;13.4;40.6;1193;46.584965;3.057117;1
4;35;02/01/2021;06/01/2021;33; LUDON-MEDOC;2;0.96354;3.1;5.01;311;44.980575;-0.598948;1
5;19;02/01/2021;03/01/2021;85; SAINTE-HERMINE;0;0.2424;0;0.56;34;46.560152;-1.077567;1
6;40;02/01/2021;03/01/2021;85; BELLEVILLE-SUR-VIE;4;4.7672;0;13.7;251;46.789778;-1.437827;1
7;41;02/01/2021;06/01/2021;87; BESSINES-SUR-GARTEMPE;1;0.2264;0;5.35;52;46.1135;1.355882;1
8;15;02/01/2021;03/01/2021;30; SAINT-GILLES;2;2.04197;2.4;6.05;123;43.698432;4.411905;1
9;34;03/01/2021;04/01/2021;76; SAINT-VIGOR-D'YMONVILLE;3;3.661;2.2;0.138;158;49.493494;0.361827;1
10;23;03/01/2021;04/01/2021;76; TRAIT (LE);2;1.63764;3.2;2.336;148;49.484162;0.802257;1
11;27;03/01/2021;07/01/2021;87; AIXE-SUR-VIENNE;1;0.4059;0;10.39;46;45.798248;1.128024;1
12;66;03/01/2021;06/01/2021;17; SABLONCEAUX;1;1.70429;1.2;1.98;89;45.709259;-0.890056;1
13;53;03/01/2021;06/01/2021;17; TONNAY-CHARENTE;6;1.5;2.7;13.8;60;45.962309;-0.878113;1
14;49;03/01/2021;07/01/2021;62; SAINTE-AUSTREBERTHE;1;0.569;2.1;2.61;15;50.364129;2.046344;1
15;70;03/01/2021;06/01/2021;86; MONTMORILLON;2;2.13037;10.2;4.27;121;46.429425;0.865728;1
16;54;04/01/2021;07/01/2021;55; VERDUN;1;0.49142;1.5;3.57;10;49.153914;5.365593;1
17;3;04/01/2021;06/01/2021;81; CASTRES;1;0.4314;0.8;0.97;5;43.609339;2.240055;1
18;24;04/01/2021;08/01/2021;87; LIMOGES;1;0.492;4;3.84;33;45.856159;1.221254;1
19;50;04/01/2021;08/01/2021;63; ISSOIRE;0;0.558;11.5;3.01;128;45.542007;3.24313;1
20;7;05/01/2021;06/01/2021;70; JUSSEY;9;4.17991;9;24.828;345;47.828082;5.889894;1
21;65;05/01/2021;09/01/2021;63; LEMPDES;3;1.49484;3.2;2.536;75;45.771876;3.193029;1
22;6;05/01/2021;07/01/2021;3; CUSSET;1;1.57864;1.6;4.76;74;45.644397;0.047045;1
23;55;05/01/2021;08/01/2021;17; SABLONCEAUX;7;2.55104;5.5;14.27;195;45.709259;-0.890056;1
24;2;05/01/2021;07/01/2021;63; ROMAGNAT;6;1.25447;0;28.95;56;45.725005;3.095781;1
25;100;06/01/2021;07/01/2021;27; EVREUX;2;1.54628;3.4;2.36;79;49.020599;1.146898;1
26;39;06/01/2021;07/01/2021;88; REMIREMONT;0;0.4473;0;0.33;26;48.012613;6.590583;1
27;42;06/01/2021;07/01/2021;88; CHARMES-SUR-MOSELLE;1;0.8573;4.3;7.347;56;47.93222;6.660995;1
28;90;06/01/2021;07/01/2021;59; SECLIN;2;0.9;0;5.24;100;50.54831;3.034681;1
29;52;06/01/2021;09/01/2021;69; CONDRIEU;1;0.4859;0;2.08;70;45.476757;4.754055;1
30;9;06/01/2021;07/01/2021;57; DIEUZE;1;0.5735;2;5.023;67;48.811468;6.720321;1
31;61;06/01/2021;09/01/2021;80; ALBERT;1;0.584;1.4;1.5;18;50.002026;2.653788;1
32;17;06/01/2021;07/01/2021;71; MACON;0;0.27901;0.4;0.52;17;46.323354;4.810857;1
33;29;06/01/2021;07/01/2021;1; SAINT-ETIENNE-SUR-REYSSOUZE;0;0.46991;1.3;4.289;52;46.399913;5.008968;1
34;28;07/01/2021;08/01/2021;88; CHAVELOT;3;3.04092;4.6;8.64;462;48.228813;6.433005;1
35;8;07/01/2021;08/01/2021;57; SARREGUEMINES;1;0.91926;3.5;2.73;131;49.110922;7.07705;1
