,Nom du site,Coordonnées,Conducteurs,Chomeurs,CodePostal,PrixMètre2,DistanceToPort,RivalCompanies,Commune,CodeInseeCommune,Adress,Taxe TCFE
0,AIX-EN-PROVENCE,"43,517888, 5,427277",57059,446400,13100,1425.8259642003284,141.4821670022888,8,Aix-en-Provence,13001,"Chemin des Piboules, Pont de l'Arc, Aix-en-Provence, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13097, France",56.355
1,AGEN,"44,176391, 0,622256",40972,460800,47550,295.30725302344194,528.2005794131555,2,Lot-et-Garonne,47031,"Allée Larroumet et Lagarde, Boé, Agen, Lot-et-Garonne, Nouvelle-Aquitaine, France métropolitaine, 47550, France",56.355
2,AMIENS,"49,850311, 2,238538",25086,507000,80480,891.8710171235094,784.9898561429002,1,Somme,80050,"Échangeur de Dury, Vers-sur-Selle, Amiens, Somme, Hauts-de-France, France métropolitaine, 80480, France",56.355
3,ANGERS,"47,504634, -0,506581",52873,278300,49000,1573.4338824546803,735.176216679888,8,Maine-et-Loire,49007,"Route de la Confluence, La Chaîne, Écouflant, Angers, Maine-et-Loire, Pays de la Loire, France métropolitaine, 49000, France",49.92
4,ARRAS,"50,318443, 2,829750",55971,507000,62223,794.7185079891392,810.7153377344399,7,Pas-de-Calais,62037,"Avenue Jules César, Actiparc, Saint-Laurent-Blangy, Arras, Pas-de-Calais, Hauts-de-France, France métropolitaine, 62223, France",56.355
5,AUXERRE,"47,819314, 3,583812",19907,196000,89000,874.9129931338562,540.5774569921888,1,Yonne,89024,"Avenue Jean Mermoz, Zone d'activités des Champoulains, Auxerre, Yonne, Bourgogne-Franche-Comté, France métropolitaine, 89000, France",56.355
6,AVIGNON,"43,906634, 4,894286",57059,446400,84140,712.7785495232617,185.1064613574586,4,Avignon,84007,"Parc des Expositions d'Avignon, 800, Chemin des Félons, Quartier Agroparc, Avignon, Vaucluse, Provence-Alpes-Côte d'Azur, France métropolitaine, 84140, France",56.355
7,BESANCON,"47,278232, 5,989102",11387,196000,25480,624.2184743364545,410.4770683478064,1,Doubs,25212,"Mercedes-Benz, Rue de l'If, Valentin, École-Valentin, Besançon, Doubs, Bourgogne-Franche-Comté, France métropolitaine, 25480, France",56.355
8,BORDEAUX,"44,956167, -0,450556",40972,460800,33440,744.1749397864392,623.9034883621133,10,Gironde,33003,"D 737, Le Port, Cubzac-les-Ponts, Blaye, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33240, France",56.355
9,BREST,"48,432296, -4,438116",41271,245700,29490,623.633208818517,1041.0767436684669,6,Finistère,29075,"C 13, Zac de Lavallot Nord, Kererven, Guipavas, Brest, Finistère, Bretagne, France métropolitaine, 29490, France",56.355
